,date,description,amount,type,account_number,currency
0,2025-04-06,BOOKSTORE.COM 221-716-0414 US,-24.13,debit,MT84MALT011000012345MTLCAST001S,EUR
1,2025-04-06,DPZ MT-901577,-7.44,debit,MT84MALT011000012345MTLCAST001S,EUR
2,2025-04-06,SPOTIFY #89471,-35.27,debit,MT84MALT011000012345MTLCAST001S,EUR
3,2025-04-08,MCDONALD'S #91057 MT,-27.01,debit,MT84MALT011000012345MTLCAST001S,EUR
4,2025-04-09,NETFLIX.COM 894-716-0414 US,-27.95,debit,MT84MALT011000012345MTLCAST001S,EUR
5,2025-04-10,DPZ MT-498855,-19.59,debit,MT84MALT011000012345MTLCAST001S,EUR
6,2025-04-12,SPOTIFY ONLINE NLD,-48.65,debit,MT84MALT011000012345MTLCAST001S,EUR
7,2025-04-13,TKT*CONCERT,-41.78,debit,MT84MALT011000012345MTLCAST001S,EUR
8,2025-04-14,MCDONALD'S #66207 MT,-5.81,debit,MT84MALT011000012345MTLCAST001S,EUR
9,2025-04-14,TKT*MCDONALD'S,-18.4,debit,MT84MALT011000012345MTLCAST001S,EUR
10,2025-04-15,MCDONALD'S #91399 MT,-12.59,debit,MT84MALT011000012345MTLCAST001S,EUR
11,2025-04-17,POS 739244 LOCAL DELI MT BIRKIRKARA,-13.02,debit,MT84MALT011000012345MTLCAST001S,EUR
12,2025-04-17,CARD PURCHASE TECH STORE STORE #4404 LDN,-47.64,debit,MT84MALT011000012345MTLCAST001S,EUR
13,2025-04-18,ZARA.COM 370-716-0414 US,-52.06,debit,MT84MALT011000012345MTLCAST001S,EUR
15,2025-04-19,SPOTIFY.COM 277-716-0414 US,-59.87,debit,MT84MALT011000012345MTLCAST001S,EUR
14,2025-04-19,CARD PURCHASE PARKING GARAGE STORE #3573 LDN,-1.82,debit,MT84MALT011000012345MTLCAST001S,EUR
16,2025-04-20,DPZ MT-178711,-59.81,debit,MT84MALT011000012345MTLCAST001S,EUR
17,2025-04-20,GOOGLE *BOOKSTORE,-97.53,debit,MT84MALT011000012345MTLCAST001S,EUR
18,2025-04-20,POS 528361 LIDL MT BIRKIRKARA,-8.06,debit,MT84MALT011000012345MTLCAST001S,EUR
19,2025-04-21,NETFLIX ONLINE MLT,-44.09,debit,MT84MALT011000012345MTLCAST001S,EUR
20,2025-04-22,MCDONALD'S #71592 MT,-7.23,debit,MT84MALT011000012345MTLCAST001S,EUR
21,2025-04-24,TKT*GAMESTORE,-40.45,debit,MT84MALT011000012345MTLCAST001S,EUR
22,2025-04-26,POS 342720 TECH STORE MT BIRKIRKARA,-134.23,debit,MT84MALT011000012345MTLCAST001S,EUR
23,2025-04-26,TKT*LOCALDELI,-14.77,debit,MT84MALT011000012345MTLCAST001S,EUR
24,2025-04-27,TKT*BOOKSTORE,-126.08,debit,MT84MALT011000012345MTLCAST001S,EUR
25,2025-04-27,DOMINO'S PIZZA ONLINE ESP,-23.94,debit,MT84MALT011000012345MTLCAST001S,EUR
26,2025-04-28,BOOKSTORE.COM 370-716-0414 US,-145.37,debit,MT84MALT011000012345MTLCAST001S,EUR
27,2025-04-28,MCDONALD'S #96662 MT,-23.94,debit,MT84MALT011000012345MTLCAST001S,EUR
28,2025-04-29,CINEMA TICKETS.COM 535-716-0414 US,-31.91,debit,MT84MALT011000012345MTLCAST001S,EUR
31,2025-04-30,Payroll ACME Ltd,2343.85,credit,MT84MALT011000012345MTLCAST001S,EUR
32,2025-04-30,GOOGLE *ZARA,-96.5,debit,MT84MALT011000012345MTLCAST001S,EUR
29,2025-04-30,CARD PURCHASE MCDONALD'S STORE #9922 LDN,-6.28,debit,MT84MALT011000012345MTLCAST001S,EUR
30,2025-04-30,NETFLIX.COM 763-716-0414 US,-21.45,debit,MT84MALT011000012345MTLCAST001S,EUR
33,2025-05-01,TKT*MONTHLYREN,-1047.29,debit,MT84MALT011000012345MTLCAST001S,EUR
34,2025-05-01,GOOGLE *MCDONALD'S,-10.57,debit,MT84MALT011000012345MTLCAST001S,EUR
123,2025-05-02,REFUND AMAZON EU SARL,23.99,credit,MT84MALT011000012345MTLCAST001S,EUR
35,2025-05-02,CARD PURCHASE CONCERT STORE #1977 LDN,-50.37,debit,MT84MALT011000012345MTLCAST001S,EUR
36,2025-05-03,GOOGLE *PUBLICPARKIN,-1.55,debit,MT84MALT011000012345MTLCAST001S,EUR
37,2025-05-03,TKT*STARBUCKS,-12.09,debit,MT84MALT011000012345MTLCAST001S,EUR
38,2025-05-04,MCDONALD'S #84607 MT,-19.51,debit,MT84MALT011000012345MTLCAST001S,EUR
39,2025-05-05,TKT*LOCALDELI,-14.25,debit,MT84MALT011000012345MTLCAST001S,EUR
40,2025-05-05,GAME STORE ONLINE ESP,-14.9,debit,MT84MALT011000012345MTLCAST001S,EUR
41,2025-05-05,NETFLIX ONLINE MLT,-15.68,debit,MT84MALT011000012345MTLCAST001S,EUR
42,2025-05-06,TKT*AMAZON,-140.43,debit,MT84MALT011000012345MTLCAST001S,EUR
43,2025-05-07,NETFLIX #45683,-59.27,debit,MT84MALT011000012345MTLCAST001S,EUR
44,2025-05-07,DPZ MT-666211,-22.29,debit,MT84MALT011000012345MTLCAST001S,EUR
45,2025-05-10,LIDL ONLINE NLD,-16.58,debit,MT84MALT011000012345MTLCAST001S,EUR
46,2025-05-10,CARD PURCHASE PARKING GARAGE STORE #1653 LDN,-5.53,debit,MT84MALT011000012345MTLCAST001S,EUR
47,2025-05-11,NETFLIX #52247,-43.76,debit,MT84MALT011000012345MTLCAST001S,EUR
48,2025-05-11,MCDONALD'S #42816 MT,-130.67,debit,MT84MALT011000012345MTLCAST001S,EUR
49,2025-05-12,POS 195763 DOMINO'S PIZZA MT BIRKIRKARA,-9.92,debit,MT84MALT011000012345MTLCAST001S,EUR
50,2025-05-14,CINEMA TICKETS.COM 790-716-0414 US,-32.86,debit,MT84MALT011000012345MTLCAST001S,EUR
51,2025-05-15,MCDONALD'S #86955 MT,-29.52,debit,MT84MALT011000012345MTLCAST001S,EUR
52,2025-05-15,POS 901909 CINEMA TICKETS MT BIRKIRKARA,-16.62,debit,MT84MALT011000012345MTLCAST001S,EUR
53,2025-05-16,TKT*TECHSTORE,-99.52,debit,MT84MALT011000012345MTLCAST001S,EUR
54,2025-05-16,MCDONALD'S #15273 MT,-12.39,debit,MT84MALT011000012345MTLCAST001S,EUR
